tweet_id,favorite_count,retweet_count
813142292504645637,9169,2655
813130366689148928,4867,498
813127251579564032,12946,3531
813112105746448384,11265,3105
813096984823349248,11467,4074
813081950185472002,10773,3120
813066809284972545,8669,2190
813051746834595840,22850,8239
812781120811126785,8252,2151
812747805718642688,0,7827
812709060537683968,7224,1611
812503143955202048,6646,1379
812466873996607488,8726,2171
812372279581671427,14937,4132
811985624773361665,7937,1587
811744202451197953,8242,1820
811647686436880384,6087,837
811627233043480576,13980,3536
811386762094317568,22808,7212
810984652412424192,5825,1609
810896069567610880,9870,2013
810657578271330305,11973,2975
810284430598270976,38755,12916
810254108431155201,16038,3785
809920764300447744,16904,4391
809808892968534016,0,5537
809448704142938112,7568,1659
809220051211603969,21778,6339
809084759137812480,14416,3952
808838249661788160,11027,3426
808733504066486276,8622,2440
808501579447930884,12326,2920
808344865868283904,46428,23408
808134635716833280,0,6731
808106460588765185,9515,2460
808001312164028416,13739,3983
807621403335917568,15933,4154
807106840509214720,123104,61179
807059379405148160,0,8284
807010152071229440,14233,4299
806629075125202948,82242,39481
806620845233815552,0,6225
806576416489959424,5284,2179
806542213899489280,11151,2680
806242860592926720,0,13207
806219024703037440,7002,1352
805958939288408065,0,6058
805932879469572096,9028,2142
805826884734976000,7183,2067
805823200554876929,0,9099
805520635690676224,6261,1865
805487436403003392,9569,2857
805207613751304193,8499,1916
804738756058218496,15014,4348
804475857670639616,6728,2270
804413760345620481,0,3627
804026241225523202,48767,18302
803773340896923648,10989,3127
803692223237865472,0,8399
803638050916102144,12008,4682
803380650405482500,8462,2099
803321560782307329,0,6031
803276597545603072,10965,2785
802952499103731712,9864,2262
802624713319034886,0,3301
802600418706604034,7778,1656
802572683846291456,9773,2831
802323869084381190,17766,6602
802265048156610565,6930,1532
802239329049477120,9914,2941
802185808107208704,0,303
801958328846974976,8443,1928
801854953262350336,1923,263
801538201127157760,8949,2323
801285448605831168,6634,936
801167903437357056,26831,6731
801127390143516673,0,4495
801115127852503040,8826,2358
800859414831898624,756,110
800855607700029440,0,1840
800751577355128832,11474,3129
800513324630806528,14388,3397
800459316964663297,10335,2425
800443802682937345,0,4893
800388270626521089,12203,3158
800188575492947969,0,4444
800141422401830912,16731,2898
800018252395122689,31074,14904
799774291445383169,0,5308
799757965289017345,9199,2441
799422933579902976,8796,2156
799308762079035393,0,6266
799297110730567681,10847,3136
799063482566066176,8852,2783
798933969379225600,14415,5066
798925684722855936,8114,1621
798705661114773508,0,7482
798701998996647937,0,8839
798697898615730177,0,7358
798694562394996736,0,5627
798686750113755136,0,2620
798682547630837760,0,5353
798673117451325440,0,6283
798665375516884993,0,4392
798644042770751489,0,2090
798628517273620480,0,2215
798585098161549313,0,6458
798576900688019456,0,6662
798340744599797760,0,3804
798209839306514432,11345,2877
797971864723324932,12760,3556
797545162159308800,15884,5476
797236660651966464,21894,7488
797165961484890113,251,32
796904159865868288,0,10082
796865951799083009,8396,2143
796759840936919040,12991,3458
796563435802726400,0,8279
796484825502875648,8299,1991
796387464403357696,12069,4707
796177847564038144,0,16183
796149749086875649,35451,16183
796125600683540480,5415,2018
796116448414461957,9935,2734
796080075804475393,9250,2616
796031486298386433,11825,4172
795464331001561088,54591,26925
795400264262053889,11060,3237
795076730285391872,17777,6128
794983741416415232,0,3811
794926597468000259,11254,2616
794355576146903043,0,11636
794332329137291264,10455,2987
794205286408003585,10083,3758
793962221541933056,18458,5537
793845145112371200,10074,2119
793614319594401792,0,3532
793601777308463104,8724,1849
793500921481273345,11710,2692
793286476301799424,26973,10392
793271401113350145,9450,2664
793256262322548741,21879,9410
793241302385262592,11544,3710
793226087023144960,10767,3229
793210959003287553,9779,3188
793195938047070209,16733,6345
793180763617361921,7572,2241
793165685325201412,10288,3146
793150605191548928,6755,1930
793135492858580992,7070,2803
793120401413079041,13893,4403
792913359805018113,15727,4545
